Row Labels,2005,Max of Production
Jharkhand,46121,17064.7
Karnataka,505459,308091
Kerala,28072,1564
Madhya Pradesh,52127,129
Maharashtra,142397,40400
Nagaland,24141,70
Odisha,411187,21394.8
Puducherry,30109,449
Tamil Nadu,252705,117590
Telangana ,60151,8300
Uttar Pradesh,56025,95
Uttarakhand,108363,43859
West Bengal,58117,13545
Rajmash Kholar,10065,3030
Nagaland,10065,3030
Rapeseed &Mustard,4538566,565310
Andhra Pradesh,50125,2727
Arunachal Pradesh,11986,1000
Assam,304918,25954
Bihar,405200,25205
Chhattisgarh,214828,7997
Dadra and Nagar Haveli,2006,2
Gujarat,158417,249800
Haryana,148400,206000
Himachal Pradesh,82163,1758
Jammu and Kashmir ,62144,22199.3
Jharkhand,72210,2615
Karnataka,176484,479
Madhya Pradesh,447222,225171
Maharashtra,232525,500
Manipur,18021,450
Meghalaya,82262,5241
Mizoram,30024,1194
Nagaland,80278,13710
Odisha,321003,3170
Puducherry,7999,467
Punjab,142442,16000
Rajasthan,278463,565310
Sikkim,58163,1534
Tamil Nadu,64191,136
Telangana ,26056,469
Tripura,34152,752
Uttar Pradesh,701884,111507
Uttarakhand,132454,6749
West Bengal,192546,103175
Redish,22028,400
Manipur,6006,400
Tamil Nadu,16022,0
Ribed Guard,24027,0
Tamil Nadu,24027,0
Rice,9198207,1710000
Andaman and Nicobar Islands,8023,29119.66
Andhra Pradesh,306799,998795
Arunachal Pradesh,192632,27463
Assam,892635,278662
Bihar,946640,542692
Chandigarh,6012,700
Chhattisgarh,176734,844764
Dadra and Nagar Haveli,22047,32296
Goa,24116,85399
Gujarat,198615,363900
Haryana,196461,567000
Himachal Pradesh,92150,59209
Jammu and Kashmir ,80181,117980
Jharkhand,146351,158468
Karnataka,709908,349693
Kerala,425253,153728
Madhya Pradesh,485346,486464
Maharashtra,338823,353600
Manipur,70064,71540
Meghalaya,168508,78003
Mizoram,68143,46626
Nagaland,106368,87300
Odisha,806791,715000
Puducherry,76222,47982
Punjab,196626,1710000
Rajasthan,178370,91185
Sikkim,48165,9750
Tamil Nadu,288724,820538
Telangana ,198502,681148
Tripura,54214,282438
Uttar Pradesh,940553,579441
Uttarakhand,144526,368655
West Bengal,603705,1365492
